"site","y_j","mu_j","alpha_j","E(m_j|y_j)","SD(m_j|y_j)","y_j,after","Observed","After RTM"
"502",20,3.10163721393281,0.107868431848509,18.1772001054597,4.02696585963766,0,-20,-18.1772001054597
"504",4,1.35590058030133,0.216660068383214,3.42712923891607,1.63847709280734,0,-4,-3.42712923891607
"505",9,0.745569214711308,0.334664263938695,6.23753699700845,2.03716868941044,5,-4,-1.23753699700845
"506",3,2.65768777858916,0.123658974579377,2.95767002171435,1.60994645242784,0,-3,-2.95767002171435
"507",17,2.70459212580495,0.121775574999803,15.2591684862632,3.6607341435605,8,-9,-7.25916848626319
"508",1,1.1600763053691,0.244298238227592,1.03910635938365,0.886145871995768,1,0,-0.0391063593836529
"510",3,1.0215017106396,0.268539527612101,2.46869500399381,1.34378302333485,1,-2,-1.46869500399381
"512",4,1.15253015723727,0.245505078194589,3.3009316935958,1.57814327614592,0,-4,-3.3009316935958
"513",7,5.92461097957662,0.0595307324470662,6.93598130394866,2.55403156924213,6,-1,-0.935981303948664
"514",6,1.02670271680687,0.267543129409908,4.66942848136872,1.84936610029155,9,3,4.33057151863128
"515",8,2.54507445990914,0.128427874816965,7.29943550560135,2.52229746783631,4,-4,-3.29943550560135
"517",5,1.2611894709074,0.229201307050047,4.1430597399195,1.78702686950799,2,-3,-2.1430597399195
"518",12,2.44098932967783,0.133174813552186,10.7269805362365,3.04933056642688,2,-10,-8.72698053623649
"519",3,7.2280501602951,0.0493250300628161,3.20854870126365,1.74650706844141,1,-2,-2.20854870126365
"520",4,2.3950202449498,0.135384861016345,3.78271003892848,1.80847680826795,5,1,1.21728996107152
"521",8,4.94255576684346,0.0705249240551774,7.78437397765369,2.6898664639834,3,-5,-4.78437397765369
"523",6,2.59459413070145,0.126286282659679,5.56994395181883,2.20602276405319,8,2,2.43005604818117
"524",11,1.13161780140093,0.2489127210831,8.54363413425868,2.53318276363193,10,-1,1.45636586574132
"526",21,0.875679363359034,0.299849217687365,14.9657382006135,3.23701611195336,13,-8,-1.9657382006135
"529",1,0.757061607588469,0.331266905276543,0.919522550572973,0.784165263775864,2,1,1.08047744942703
"530",3,1.53292306585123,0.19655796506532,2.71163434322945,1.47602202379336,6,3,3.28836565677055
"531",4,2.09649347475823,0.151737584591666,3.71116651760534,1.77427254789292,2,-2,-1.71116651760534
"533",11,2.7246801920644,0.120986390792854,9.99879892378126,2.96463831347594,7,-4,-2.99879892378126
"534",5,2.79102967934107,0.11845093450787,4.7383454012178,2.04379156481831,2,-3,-2.7383454012178
"536",8,3.4876985668666,0.0970874719767152,7.56191206106017,2.61299543354779,6,-2,-1.56191206106017
"538",9,1.23728666035616,0.232599264527273,7.19439858646279,2.34967801337449,10,1,2.80560141353721
"539",7,0.879313006828638,0.298980593785105,5.17003336840886,1.90375778974983,8,1,2.82996663159114
"540",3,0.861245222630367,0.303350132861265,2.35120845412726,1.27983165189146,9,6,6.64879154587274
"541",16,0.690088875240745,0.35209652545406,10.6094334879618,2.62181021811543,4,-12,-6.6094334879618
"543",8,2.32749507765566,0.138767591252742,7.21284015555695,2.49237471121003,4,-4,-3.21284015555695
"544",4,1.56085734536329,0.193721679913019,3.52748518739628,1.68645629383793,3,-1,-0.527485187396276
"545",4,1.16981231400675,0.242758597296516,3.31294760726241,1.58388796737854,2,-2,-1.31294760726241
"546",28,2.0933567382666,0.151930407864471,24.0639931228455,4.51751489569694,16,-12,-8.0639931228455
"547",13,3.32094312400998,0.101467888169694,12.0178865393189,3.28610057239751,10,-3,-2.01788653931893
"548",2,2.6665174677102,0.123299988479181,2.08218159608984,1.35109164355361,7,5,4.91781840391016
"549",15,3.33677149207277,0.101035194057843,13.8216034443606,3.52493050401977,14,-1,0.17839655563939
"550",1,0.677380910855506,0.356348158664073,0.885035281633479,0.754754654620063,3,2,2.11496471836652
"552",4,1.20951590212461,0.236675821451638,3.33955988388761,1.59661103750462,3,-1,-0.33955988388761
"553",7,1.32863903163915,0.220127007963586,5.75158027895326,2.11790040395787,2,-5,-3.75158027895326
"554",8,3.3444470711566,0.100826695570717,7.53059598213015,2.60217425887926,4,-4,-3.53059598213015
"557",7,1.61569671138421,0.188385127148801,5.98567734036641,2.20410180198869,5,-2,-0.98567734036641
"558",5,3.2361642366699,0.103850023758989,4.81682561407122,2.07764245230189,4,-1,-0.816825614071216
"562",6,2.82057673155275,0.117355716830805,5.62687650322283,2.22857137594215,7,1,1.37312349677717
"563",7,1.74621162063498,0.176794197028738,6.07116070211125,2.23557928080152,7,0,0.928839297888755
"564",2,0.873426895283164,0.300390209735903,1.66158846879128,1.07817603393709,5,3,3.33841153120872
"565",8,2.48594763476718,0.131082056485796,7.27720667639492,2.51461636433491,5,-3,-2.27720667639492
"566",16,3.08456616399059,0.108400699688711,14.5999579353933,3.60795125795387,5,-11,-9.59995793539333
"567",7,2.59702246680773,0.126183099289082,6.4444186487616,2.37302379476998,4,-3,-2.4444186487616
"569",11,2.6122591292943,0.125539500855358,9.94700719778752,2.94928209555692,3,-8,-6.94700719778752
"570",8,0.875090366182953,0.29999049328985,5.86259484430562,2.02580160060255,3,-5,-2.86259484430562
"571",11,4.89972591197251,0.0710975717826727,10.5662853251325,3.13289771549482,16,5,5.43371467486751
"572",4,2.83593773780212,0.116794295266265,3.86404416844054,1.84736186301163,4,0,0.135955831559456
"573",5,4.00163774540515,0.0856867551423475,4.91445357794717,2.11975234344845,4,-1,-0.914453577947168
"574",12,2.8478391753376,0.116362995237636,10.9350271535457,3.10847143158085,14,2,3.06497284645427
"576",7,2.12652658873451,0.149915851986735,6.26938908141544,2.30857277897811,9,2,2.73061091858456
"578",7,2.50797691258442,0.130080445532561,6.41567563544643,2.36243977497738,1,-6,-5.41567563544643
